run_type,scenario,n_turns,repeat,session_id,turn_index,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,tokens_in,tokens_out,cost_usd,latency_ms,cache_hit_kind,last_resolved_tier,facts_total,facts_retained,fact_recall,latency_ok,cost_ok,attachment_kb,attachment_extracted_chars,attachment_truncated_chars,attachment_markers_in,attachment_markers_cut,attachment_recall,error
scenario,growing_project,1,1,fd5fcba7-2016-4076-9ed1-a1a581278140,1,286,0,1,0,0,3294,572,0.0,20657.8,none,starter,6,3,0.5,0,1,,,,,,,
scenario,growing_project,3,1,87be2e07-3cef-4db9-bc21-7e3ac23016f7,1,286,0,1,0,0,0,0,0.0,216.0,exact,starter,6,3,0.5,1,1,,,,,,,
scenario,growing_project,3,1,87be2e07-3cef-4db9-bc21-7e3ac23016f7,2,173,0,2,3,0,3271,437,0.0,12220.4,none,starter,7,4,0.5714,0,1,,,,,,,
scenario,growing_project,3,1,87be2e07-3cef-4db9-bc21-7e3ac23016f7,3,215,0,3,5,0,3283,487,0.0,12623.6,none,starter,7,5,0.7143,0,1,,,,,,,
scenario,growing_project,6,1,d739d869-799d-4ca6-8fb5-950a25fe27ce,1,286,0,1,0,0,0,0,0.0,163.1,exact,starter,6,3,0.5,1,1,,,,,,,
scenario,growing_project,6,1,d739d869-799d-4ca6-8fb5-950a25fe27ce,2,173,0,2,3,0,0,0,0.0,175.6,exact,starter,7,4,0.5714,1,1,,,,,,,
scenario,growing_project,6,1,d739d869-799d-4ca6-8fb5-950a25fe27ce,3,215,0,3,5,0,0,0,0.0,270.2,exact,starter,7,5,0.7143,1,1,,,,,,,
scenario,growing_project,6,1,d739d869-799d-4ca6-8fb5-950a25fe27ce,4,208,0,4,5,0,3282,617,0.0,14870.0,none,starter,7,4,0.5714,0,1,,,,,,,
scenario,growing_project,6,1,d739d869-799d-4ca6-8fb5-950a25fe27ce,5,175,0,5,5,0,3273,442,0.0,11708.1,none,starter,7,5,0.7143,0,1,,,,,,,
scenario,growing_project,6,1,d739d869-799d-4ca6-8fb5-950a25fe27ce,6,175,0,6,6,0,8076,1045,0.0,24990.2,none,starter,9,7,0.7778,0,1,,,,,,,
scenario,growing_project,10,1,dda89b74-76b4-4d56-9406-f1c88156f0e4,1,286,0,1,0,0,0,0,0.0,191.4,exact,starter,6,3,0.5,1,1,,,,,,,
scenario,growing_project,10,1,dda89b74-76b4-4d56-9406-f1c88156f0e4,2,173,0,2,3,0,0,0,0.0,234.7,exact,starter,7,4,0.5714,1,1,,,,,,,
scenario,growing_project,10,1,dda89b74-76b4-4d56-9406-f1c88156f0e4,3,215,0,3,5,0,0,0,0.0,212.0,exact,starter,7,5,0.7143,1,1,,,,,,,
scenario,growing_project,10,1,dda89b74-76b4-4d56-9406-f1c88156f0e4,4,208,0,4,5,0,0,0,0.0,201.4,exact,starter,7,4,0.5714,1,1,,,,,,,
scenario,growing_project,10,1,dda89b74-76b4-4d56-9406-f1c88156f0e4,5,175,0,5,5,0,0,0,0.0,182.6,exact,starter,7,5,0.7143,1,1,,,,,,,
scenario,growing_project,10,1,dda89b74-76b4-4d56-9406-f1c88156f0e4,6,175,0,6,6,0,0,0,0.0,282.6,exact,starter,9,7,0.7778,1,1,,,,,,,
scenario,growing_project,10,1,dda89b74-76b4-4d56-9406-f1c88156f0e4,7,213,0,6,8,720,3283,377,0.0,14546.4,none,starter,10,8,0.8,0,1,,,,,,,
scenario,growing_project,10,1,dda89b74-76b4-4d56-9406-f1c88156f0e4,8,212,0,6,9,803,8209,1156,0.0,31492.5,none,starter,10,8,0.8,0,1,,,,,,,
scenario,growing_project,10,1,dda89b74-76b4-4d56-9406-f1c88156f0e4,9,199,0,6,9,961,3282,430,0.0,10929.6,none,starter,10,8,0.8,0,1,,,,,,,
scenario,growing_project,10,1,dda89b74-76b4-4d56-9406-f1c88156f0e4,10,184,0,6,9,877,3275,433,0.0,14306.3,none,starter,13,10,0.7692,0,1,,,,,,,
scenario,growing_project,20,1,239779d8-6298-421e-9e96-2a247e5c5483,1,286,0,1,0,0,0,0,0.0,200.5,exact,starter,6,3,0.5,1,1,,,,,,,
scenario,growing_project,20,1,239779d8-6298-421e-9e96-2a247e5c5483,2,173,0,2,3,0,0,0,0.0,184.4,exact,starter,7,4,0.5714,1,1,,,,,,,
scenario,growing_project,20,1,239779d8-6298-421e-9e96-2a247e5c5483,3,215,0,3,5,0,0,0,0.0,249.7,exact,starter,7,5,0.7143,1,1,,,,,,,
scenario,growing_project,20,1,239779d8-6298-421e-9e96-2a247e5c5483,4,208,0,4,5,0,0,0,0.0,197.7,exact,starter,7,4,0.5714,1,1,,,,,,,
